district,body_code,body_type,ward_code,ward_name,source_key,source_url,source_last_updated
Ernakulam,M07027,Municipality,001,MATTUMMAL,n6Zgo15Zor,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,002,KURUNTHOTTY PARAMBU,o7LEmMAL2e,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,003,MARKET,w2XOkgpX4K,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,004,KANNANKULANGARA,lMB1WnALbV,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,005,TOWN HALL,odLrW6WZ39,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,006,PALLAM THURATHU,WxLYoEdBME,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,007,KODATHI,91Bn8j0LwD,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,008,BUS STAND,QNL7WNqLEG,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,009,FIRE STATION,P3L6WPzZON,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,010,VEDIMARA,3bZJ9mGLN9,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,011,AMBEDKAR PARK,14Xo2j9BJr,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,012,PALLITHAZHAM,q7ZP0mmZVY,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,013,SANTHI NAGAR,WALNgmxZK6,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,014,NANDIKULANGARA,anZbRrPZ65,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,015,KIZHAKKEPRAM EAST,2VZAWGQXqe,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,016,VANIYAKKAD,MOZ4WJVLAD,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,017,VAZHIKULANGARA,MVLzWzdZgA,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,018,KIZHAKKEPRAM WEST,b5X8Wb3Bq1,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,019,PERUVARAM,GaB2W7lXAq,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,020,STADIUM,AKXRkgML9o,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,021,KESARI,4WXyW4YZ3G,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,022,NANTHIATTUKUNNAM,wNL5Wo7B8b,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,023,THONNIYAKAVU,woXGkmNXxV,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,024,SNV SCHOOL,k8XvWN2LO9,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,025,KANNANCHIRA,7eXQkmRZ8m,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,026,KEDAMANGALAM SOUTH,3KXl4jqX8g,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,027,KEDAMANGALAM NORTH,2VZMDg6LKM,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,028,SAMOOHAM SCHOOL,Q9ZxWAqL2O,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,029,PERUMBADANNA SOUTH,7mXe6j4LOg,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,M07027,Municipality,030,PERUMBADANNA,2VZMNG1BKM,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
